id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_transporte_oc;descricao_transporte_interrompido_oc;data_interrupcao_transporte_oc;data_liberacao_transporte_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
32915;Final Feliz, Complexo do Chapadão, Anchieta - Rio de Janeiro;-22.8274311;-43.388054;05/01/2020;17:48:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32917;13, Cidade de Deus, Rio de Janeiro - RJ, Brasil;-22.9465479;-43.3697197;05/01/2020;19:47:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32919;Tijuca, Rio de Janeiro - RJ, Brasil;-22.9325728;-43.2410248;05/01/2020;20:45:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32920;Estr. do Pedregoso, 1125 - Campo Grande, Rio de Janeiro - RJ, 23095-250, Brasil;-22.8689692;-43.5609111;05/01/2020;22:54:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32923;13, Cidade de Deus, Rio de Janeiro - RJ, Brasil;-22.9465479;-43.3697197;06/01/2020;0:37:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32924;13, Cidade de Deus, Rio de Janeiro - RJ, Brasil;-22.9465479;-43.3697197;06/01/2020;1:42:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32925;Vila do João, Complexo da Maré, Rio de Janeiro - RJ, 21032-000, Brasil;-22.8729313;-43.2404233;06/01/2020;5:11:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Operação Policial;
32926;Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil;-22.8604006;-43.4884116;06/01/2020;5:57:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32928;Baixa do Sapateiro - Maré, Rio de Janeiro - RJ, 21042-420, Brasil;-22.8613683;-43.2429213;06/01/2020;9:10:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32929;Quadra Flor da Mina, Andaraí, Rio de Janeiro - RJ, 20541-170, Brasil;-22.9319979;-43.2556264;06/01/2020;1:10:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
