ID,latitude,longitude,fecha,hora,presencia_policia,civiles_muertos,policias_muertos,varones_muertos,mujeres_muertas,cerca_escuelas,motivo_principal.y,direccion,localidad,bairro,region
34690,-22.876026,-43.305513,27/03/2020,20:14:00,0,0,0,NA,NA,Não,NA,"Morro do Urubu, Piedade, Rio de Janeiro - RJ, 21381-400, Brasil",Tomás Coelho,Inhaúma,INHAUMA
34691,-22.9352778,-43.2563889,27/03/2020,21:10:00,0,0,0,NA,NA,Não,NA,"Morro do Andarai - Andaraí, Rio de Janeiro - RJ, 20531-490, Brasil",Andaraí,Tijuca,VILA ISABEL
34693,-22.8881559,-43.2493334,27/03/2020,20:26:00,1,0,0,NA,NA,Não,Ação policial,"Av. Dom Hélder Câmara - Benfica, Rio de Janeiro - RJ, Brasil",Benfica,Centro,SAO CRISTOVAO
34697,-22.9205568,-43.6587637,27/03/2020,22:55:00,0,0,0,NA,NA,Não,NA,"Antares, Santa Cruz, Rio de Janeiro - RJ, 23590-801, Brasil",Santa Cruz,Santa Cruz,SANTA CRUZ
34700,-22.8694071,-43.4790849,28/03/2020,02:30:00,0,0,0,NA,NA,Não,NA,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Bangu,Bangu,BANGU
34701,-22.8694071,-43.4790849,28/03/2020,03:34:00,0,0,0,NA,NA,Não,NA,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Bangu,Bangu,BANGU
34702,-22.9093698,-43.2555465,28/03/2020,03:30:00,0,0,0,NA,NA,Não,Guerra,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20560, Brasil",Riachuelo,Méier,MEIER
34709,-22.8786153,-43.4707911,27/03/2020,15:00:00,1,0,1,1,NA,Não,Tentativa/Roubo,"R. dos Tecelões - Bangu, Rio de Janeiro - RJ, 21820, Brasil",Bangu,Bangu,BANGU
34710,-22.8960142,-43.3213563,28/03/2020,08:22:00,0,0,0,NA,NA,Não,NA,"Saçu - Quintino Bocaiuva, Rio de Janeiro - RJ, Brasil",Quintino Bocaiúva,Madureira,MADUREIRA
34711,-22.8604006,-43.4884116,28/03/2020,07:50:00,0,0,0,NA,NA,Não,NA,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Vila Kennedy,Bangu,BANGU
34713,-22.8604006,-43.4884116,28/03/2020,09:01:00,0,0,0,NA,NA,Não,NA,"Vila Kennedy, Rio de Janeiro - RJ, 21850-007, Brasil",Vila Kennedy,Bangu,BANGU
34714,-22.907542,-43.26489,28/03/2020,03:30:00,0,0,0,NA,NA,Não,NA,"Morro do São João, Engenho Novo, Rio de Janeiro - RJ, 20950-370, Brasil",Engenho Novo,Méier,MEIER
34717,-22.8923941,-43.4177244,28/03/2020,14:42:00,0,0,0,NA,NA,Não,NA,"Jardim Novo - Realengo, Rio de Janeiro - RJ, 21760-240, Brasil",Realengo,Bangu,REALENGO
34718,-22.8923941,-43.4177244,28/03/2020,16:19:00,0,0,0,NA,NA,Não,NA,"Jardim Novo - Realengo, Rio de Janeiro - RJ, 21760-240, Brasil",Realengo,Bangu,REALENGO
34719,-22.91,-43.2575,28/03/2020,14:16:00,0,0,0,NA,NA,Não,NA,"Morro dos Macacos - Sampaio, Rio de Janeiro - RJ, 20560, Brasil",Sampaio,Méier,MEIER
34720,-22.93901,-43.3310215,28/03/2020,13:30:00,0,0,0,NA,NA,Não,NA,"Morro da Tirol - Freguesia de Jacarepaguá, Rio de Janeiro - RJ, Brasil",Freguesia (Jacarepaguá),Jacarepaguá,JACAREPAGUA
34721,-22.832551,-43.380411,28/03/2020,14:18:00,0,0,0,NA,NA,Não,NA,"Gogó da Ema - Guadalupe, Rio de Janeiro - RJ, 21665-109, Brasil",Guadalupe,Pavuna,ANCHIETA
34722,-22.8581095,-43.4875308,28/03/2020,16:57:00,0,0,0,NA,NA,Não,NA,"Pedra, Vila kennedy, Rio de Janeiro - RJ, 21850-430, Brasil",Vila Kennedy,Bangu,BANGU
34723,-22.8265321,-43.3725279,28/03/2020,13:00:00,1,0,0,NA,NA,Não,Ação policial,"Estr. do Camboatá - Costa Barros, Rio de Janeiro - RJ, Brasil",Costa Barros,Pavuna,PAVUNA
34724,-22.8710555,-43.4398067,28/03/2020,07:00:00,0,0,0,NA,NA,Não,NA,"Vila Vintém - Realengo, Rio de Janeiro - RJ, 21721-210, Brasil",Realengo,Bangu,REALENGO
34726,-22.8018299,-43.1909843,28/03/2020,17:56:00,1,0,0,NA,NA,Não,Operação Policial,"Morro do Dendê, Ilha Do Governador, Rio de Janeiro - RJ, 21921-415, Brasil",Jardim Carioca,Ilha do Governador,ILHA DO GOVERNADOR
